folder,file_count,purpose,designed_for,install_guide,install_script,ai_entrypoint,notes,lines,code,comments,blanks,complexity,bytes,files
.,21,"Repository root configuration and entrypoint files.","Project-wide metadata and installer/runtime entry files.",README.md,install-ai-kit.sh,AGENTS.md,"Root-level tracked files are intentionally grouped under '.'.",2181,1749,34,398,42,120036,".ai-install-manifest.json,.editorconfig,.gitattributes,.gitignore,.gitleaks.toml,.gitleaksignore,.markdownlint-cli2.yaml,.repomixignore,.shellcheckrc,AGENTS.md,CLAUDE.md,PLACEHOLDERS.md,README.md,composer.json,composer.lock,install-ai-kit.sh,justfile,llms.txt,opencode.jsonc,phpunit.xml.dist,readme-install.md"
.github,72,"GitHub Copilot runtime adapters: instructions, agents, prompts, skills, workflows, hooks.","GitHub Copilot users and CI workflow integration.",README.md,tools/ai/install-copilot-kit.sh,.github/copilot-instructions.md,"Canonical installed Copilot surface for this repo.",3858,2826,0,1032,19,150782,".github/agents/architect.agent.md,.github/agents/config-maintainer.agent.md,.github/agents/implementer.agent.md,.github/agents/refactorer.agent.md,.github/agents/release-auditor.agent.md,.github/agents/repository-researcher.agent.md,.github/agents/repository-reviewer.agent.md,.github/agents/researcher.agent.md,.github/agents/reviewer.agent.md,.github/agents/workflow-auditor.agent.md,.github/copilot-instructions.md,.github/hooks/scripts/tool-guardian.ps1,.github/hooks/tool-guardian.json,.github/hooks/tool-policy.json,.github/instructions/ai-file-standards.instructions.md,.github/instructions/ai-scripts.instructions.md,.github/instructions/ai-search.instructions.md,.github/instructions/ai-tooling.instructions.md,.github/instructions/ai-workflow.instructions.md,.github/instructions/approval-boundaries.instructions.md,.github/instructions/architecture.instructions.md,.github/instructions/base.instructions.md,.github/instructions/ci-workflows.instructions.md,.github/instructions/composer.instructions.md,.github/instructions/config-infra.instructions.md,.github/instructions/context-gate.instructions.md,.github/instructions/copilot-script-enforcement.instructions.md,.github/instructions/execution-protocol.instructions.md,.github/instructions/frontend.instructions.md,.github/instructions/generated-artifacts.instructions.md,.github/instructions/php.instructions.md,.github/instructions/security.instructions.md,.github/instructions/shell.instructions.md,.github/instructions/targets.instructions.md,.github/instructions/testing.instructions.md,.github/instructions/tools.instructions.md,.github/prompts/architecture-plan.prompt.md,.github/prompts/bug-regression.prompt.md,.github/prompts/dependency-upgrade.prompt.md,.github/prompts/docs-sync.prompt.md,.github/prompts/evidence-first-execution.prompt.md,.github/prompts/new-feature.prompt.md,.github/prompts/plan-slice.prompt.md,.github/prompts/project-context.prompt.md,.github/prompts/regression-test.prompt.md,.github/prompts/release-safety.prompt.md,.github/prompts/repo-investigation.prompt.md,.github/prompts/review-diff.prompt.md,.github/prompts/review-search-tool.prompt.md,.github/prompts/script-inventory.prompt.md,.github/prompts/search-evidence.prompt.md,.github/prompts/verify-change.prompt.md,.github/pull_request_template.md,.github/skills/architecture-plan/SKILL.md,.github/skills/bug-regression/SKILL.md,.github/skills/dependency-upgrade/SKILL.md,.github/skills/docs-sync/SKILL.md,.github/skills/evidence-first-execution/SKILL.md,.github/skills/new-feature/SKILL.md,.github/skills/plan-slice/SKILL.md,.github/skills/project-context/SKILL.md,.github/skills/regression-test/SKILL.md,.github/skills/release-safety/SKILL.md,.github/skills/repo-investigation/SKILL.md,.github/skills/review-diff/SKILL.md,.github/skills/review-search-tool/SKILL.md,.github/skills/script-inventory/SKILL.md,.github/skills/search-evidence/SKILL.md,.github/skills/verify-change/SKILL.md,.github/workflows/export-ai-universal-rules-preview.yml,.github/workflows/test-external-install.yml,.github/workflows/validate-ai-surface.yml"
.opencode,55,"OpenCode runtime adapters including agents, commands, and skills.","OpenCode users and local agent routing.",README.md,tools/ai/install-opencode-kit.sh,.opencode/opencode.json,"Canonical installed OpenCode surface for this repo.",3392,2637,0,755,0,119560,".opencode/agents-optional/architecture-plan.md,.opencode/agents-optional/bugfix.md,.opencode/agents-optional/build-config.md,.opencode/agents-optional/docs.md,.opencode/agents-optional/infra-auditor.md,.opencode/agents-optional/ui-builder.md,.opencode/agents-optional/upgrade.md,.opencode/agents/architect.md,.opencode/agents/bootstrapper.md,.opencode/agents/config-maintainer.md,.opencode/agents/implementer.md,.opencode/agents/refactorer.md,.opencode/agents/release-auditor.md,.opencode/agents/repository-researcher.md,.opencode/agents/repository-reviewer.md,.opencode/agents/researcher.md,.opencode/agents/reviewer.md,.opencode/agents/workflow-auditor.md,.opencode/commands/architecture-plan.md,.opencode/commands/bug-regression.md,.opencode/commands/dependency-upgrade.md,.opencode/commands/docs-sync.md,.opencode/commands/evidence-first-execution.md,.opencode/commands/new-feature.md,.opencode/commands/plan-slice.md,.opencode/commands/project-context.md,.opencode/commands/regression-test.md,.opencode/commands/release-safety.md,.opencode/commands/repo-investigation.md,.opencode/commands/review-diff.md,.opencode/commands/review-search-tool.md,.opencode/commands/script-inventory.md,.opencode/commands/search-evidence.md,.opencode/commands/verify-ai-wiring.md,.opencode/commands/verify-change.md,.opencode/commands/verify.md,.opencode/opencode.json,.opencode/skills/ai-scripts/SKILL.md,.opencode/skills/ai-search/SKILL.md,.opencode/skills/architecture-plan/SKILL.md,.opencode/skills/bug-regression/SKILL.md,.opencode/skills/dependency-upgrade/SKILL.md,.opencode/skills/docs-sync/SKILL.md,.opencode/skills/evidence-first-execution/SKILL.md,.opencode/skills/new-feature/SKILL.md,.opencode/skills/plan-slice/SKILL.md,.opencode/skills/project-context/SKILL.md,.opencode/skills/regression-test/SKILL.md,.opencode/skills/release-safety/SKILL.md,.opencode/skills/repo-investigation/SKILL.md,.opencode/skills/review-diff/SKILL.md,.opencode/skills/review-search-tool/SKILL.md,.opencode/skills/script-inventory/SKILL.md,.opencode/skills/search-evidence/SKILL.md,.opencode/skills/verify-change/SKILL.md"
.schemas,12,"JSON schemas used by AI tooling and artifact validation.","Tooling validation and contract enforcement.",docs/ai/validation.md,none,.schemas/ai-catalog.schema.json,"Schema set for generated artifacts and policy documents.",806,806,0,0,0,17536,".schemas/advisor-recommendation.schema.json,.schemas/ai-catalog.schema.json,.schemas/ai-command-policy.schema.json,.schemas/ai-file-standards.schema.json,.schemas/ai-handoff.schema.json,.schemas/ai-universal-rules-manifest.schema.json,.schemas/evidence-event.schema.json,.schemas/generated-artifacts.schema.json,.schemas/project-placeholders.schema.json,.schemas/project-scorecard.schema.json,.schemas/project-signals.schema.json,.schemas/verification-matrix.schema.json"
.vscode,1,"VS Code workspace settings used by repository contributors.","Local editor configuration for consistent contributor experience.",README.md,none,.vscode/settings.json,"Editor configuration; not part of installed AI surface.",36,36,0,0,0,1302,.vscode/settings.json
configs,1,"Shared shell and runtime configuration snippets used by contributors.","Local developer shell setup and reusable runtime config.",README.md,none,configs/shell/.zshrc,"Optional configuration referenced by contributor environments.",389,268,51,70,57,12249,configs/shell/.zshrc
docs,116,"Canonical AI workflow documentation, capabilities, and generated artifacts.","Humans and agents reading the source-of-truth for policies and workflows.",docs/ai/project-context.md,none,docs/ai/project-context.md,"Includes capabilities, generated artifacts, and architecture notes.",3805,2974,0,831,0,185584,"docs/ai/AI-GUARDRAILS.md,docs/ai/MCP-BOUNDARIES.md,docs/ai/POST-INSTALL.md,docs/ai/SETUP.md,docs/ai/adapter-contract.md,docs/ai/agent-ops-checklist.md,docs/ai/agent-ops.md,docs/ai/agents.md,docs/ai/ai-file-standards.md,docs/ai/approval-boundaries.md,docs/ai/architecture-locks.md,docs/ai/available-packs.md,docs/ai/capabilities/README.md,docs/ai/capabilities/adapter-drift/CAPABILITY.md,docs/ai/capabilities/agent-observability-and-evidence/CAPABILITY.md,docs/ai/capabilities/agent-observability-and-evidence/EVENT_SCHEMA.md,docs/ai/capabilities/agent-observability-and-evidence/FAILURE_TAXONOMY.md,docs/ai/capabilities/authorization-and-tool-governance/CAPABILITY.md,docs/ai/capabilities/bug-regression/CAPABILITY.md,docs/ai/capabilities/bug-regression/checklist.md,docs/ai/capabilities/bug-regression/config.example.json,docs/ai/capabilities/bug-regression/examples.md,docs/ai/capabilities/bug-regression/gotchas.md,docs/ai/capabilities/bug-regression/reference.md,docs/ai/capabilities/config-change-safety/CAPABILITY.md,docs/ai/capabilities/dependency-upgrade/CAPABILITY.md,docs/ai/capabilities/dependency-upgrade/checklist.md,docs/ai/capabilities/dependency-upgrade/examples.md,docs/ai/capabilities/dependency-upgrade/gotchas.md,docs/ai/capabilities/dependency-upgrade/reference.md,docs/ai/capabilities/docs-sync/CAPABILITY.md,docs/ai/capabilities/evaluation-and-regression/CAPABILITY.md,docs/ai/capabilities/evaluation-and-regression/GOLDEN_TASKS.md,docs/ai/capabilities/evaluation-and-regression/HUMAN_REVIEW_RULES.md,docs/ai/capabilities/evaluation-and-regression/REPLAY_RULES.md,docs/ai/capabilities/evidence-first-execution/CAPABILITY.md,docs/ai/capabilities/evidence-first-execution/checklist.md,docs/ai/capabilities/evidence-first-execution/examples.md,docs/ai/capabilities/evidence-first-execution/gotchas.md,docs/ai/capabilities/evidence-first-execution/reference.md,docs/ai/capabilities/preview-environments/CAPABILITY.md,docs/ai/capabilities/preview-environments/CHECKLIST.md,docs/ai/capabilities/preview-environments/DATA_AND_SECRET_RULES.md,docs/ai/capabilities/preview-environments/LIFECYCLE.md,docs/ai/capabilities/project-context/CAPABILITY.md,docs/ai/capabilities/project-context/examples.md,docs/ai/capabilities/project-context/gotchas.md,docs/ai/capabilities/project-context/reference.md,docs/ai/capabilities/release-safety/CAPABILITY.md,docs/ai/capabilities/release-safety/checklist.md,docs/ai/capabilities/release-safety/examples.md,docs/ai/capabilities/release-safety/gotchas.md,docs/ai/capabilities/release-safety/reference.md,docs/ai/capabilities/review-diff/CAPABILITY.md,docs/ai/capabilities/review-diff/checklist.md,docs/ai/capabilities/review-diff/examples.md,docs/ai/capabilities/review-diff/gotchas.md,docs/ai/capabilities/review-diff/reference.md,docs/ai/capabilities/service-boundary-patterns/CAPABILITY.md,docs/ai/capabilities/verify-change/CAPABILITY.md,docs/ai/capabilities/verify-change/checklist.md,docs/ai/capabilities/verify-change/examples.md,docs/ai/capabilities/verify-change/gotchas.md,docs/ai/capabilities/verify-change/reference.md,docs/ai/catalog.md,docs/ai/command-policy.md,docs/ai/command-policy.tiers.yaml,docs/ai/command-risk-taxonomy.md,docs/ai/context-packing.md,docs/ai/copilot-cli-repo-integration.md,docs/ai/copilot-getting-started.md,docs/ai/copilot-tooling.md,docs/ai/delivery/README.md,docs/ai/delivery/slice-card.template.md,docs/ai/execution-protocol.md,docs/ai/external-repo-install.md,docs/ai/failure-handling.md,docs/ai/generated-artifacts.md,docs/ai/handoff-contract.md,docs/ai/hooks.md,docs/ai/installed-files.md,docs/ai/integration-matrix.md,docs/ai/maintenance-mode.md,docs/ai/mandatory-tools-install.md,docs/ai/ownership.md,docs/ai/project-configuration.md,docs/ai/project-context-placeholders.md,docs/ai/project-context.md,docs/ai/project-stack.md,docs/ai/repo-directory-map.json,docs/ai/repo-documentation-generation.md,docs/ai/repo-required-tools.md,docs/ai/script-registry.json,docs/ai/script-registry.md,docs/ai/script-registry.schema.json,docs/ai/scripts-reference.md,docs/ai/session-reentry.md,docs/ai/shared/approvals/APPROVAL-PACKET.template.md,docs/ai/shared/project-interaction.md,docs/ai/shared/verification/VERIFICATION-EVIDENCE.template.md,docs/ai/snippets/approvals.snippet.md,docs/ai/snippets/verification.snippet.md,docs/ai/snippets/workflow.snippet.md,docs/ai/source-of-truth.md,docs/ai/tool-policy.md,docs/ai/toolchain-requirements.md,docs/ai/tools/actions/preview-file.md,docs/ai/tools/actions/search-evidence.md,docs/ai/tools/actions/use-ai-script.md,docs/ai/tools/ai-search.md,docs/ai/tools/tool-map.md,docs/ai/validation.md,docs/ai/verification-matrix.md,docs/ai/workflow.md,docs/software-and-cli-tools.md,docs/vscode-extensions.md"
packages,171,"Canonical ai-universal-rules package source and templates.","Template generation and install surfaces.",packages/ai-universal-rules/README.md,tools/ai/export-ai-universal-rules.php,packages/ai-universal-rules/catalog.json,"Source-of-truth templates and manifests live here.",12199,9971,12,2216,22,500297,"packages/ai-kit-tests/README.md,packages/ai-kit-tests/composer.json,packages/ai-kit-tests/phpunit.xml.dist,packages/ai-kit-tests/tests/Support/list-slow-tests.php,packages/ai-kit-tests/tests/bootstrap.php,packages/ai-universal-rules/PLACEHOLDERS.md,packages/ai-universal-rules/QUICKSTART.md,packages/ai-universal-rules/README.md,packages/ai-universal-rules/catalog.json,packages/ai-universal-rules/docs/BROWSE.md,packages/ai-universal-rules/docs/CAPABILITY-MODEL.md,packages/ai-universal-rules/docs/COMPATIBILITY.md,packages/ai-universal-rules/docs/COMPOSITION-RECIPES.md,packages/ai-universal-rules/docs/CONTROL-MODEL.md,packages/ai-universal-rules/docs/DESIGN-PRINCIPLES.md,packages/ai-universal-rules/docs/EVALUATION.md,packages/ai-universal-rules/docs/INSTALL-CATALOG.md,packages/ai-universal-rules/docs/INSTALL-GITHUB-COPILOT.md,packages/ai-universal-rules/docs/INSTALL-OPENCODE.md,packages/ai-universal-rules/docs/ONBOARDING.md,packages/ai-universal-rules/docs/PRECEDENCE.md,packages/ai-universal-rules/docs/PROJECT-EXAMPLES.md,packages/ai-universal-rules/docs/RELEASE-BUNDLES.md,packages/ai-universal-rules/docs/foundations/CAPABILITY-MODEL.md,packages/ai-universal-rules/docs/foundations/COMPATIBILITY.md,packages/ai-universal-rules/docs/foundations/CONTROL-MODEL.md,packages/ai-universal-rules/docs/foundations/DESIGN-PRINCIPLES.md,packages/ai-universal-rules/docs/foundations/PRECEDENCE.md,packages/ai-universal-rules/docs/foundations/SKILLS.md,packages/ai-universal-rules/docs/operations/EVAL-SCENARIOS.md,packages/ai-universal-rules/docs/operations/GOVERNANCE.md,packages/ai-universal-rules/docs/operations/HOOKS-AND-ENFORCEMENT.md,packages/ai-universal-rules/docs/operations/MAINTENANCE.md,packages/ai-universal-rules/docs/operations/MCP-BOUNDARIES.md,packages/ai-universal-rules/docs/operations/TROUBLESHOOTING.md,packages/ai-universal-rules/docs/workflows/AGENT-HANDOFFS.md,packages/ai-universal-rules/docs/workflows/MONOREPO-STRATEGY.md,packages/ai-universal-rules/docs/workflows/RISK-AND-APPROVALS.md,packages/ai-universal-rules/docs/workflows/RUNTIME-OBSERVABILITY.md,packages/ai-universal-rules/docs/workflows/SYSTEM-WORKFLOW.md,packages/ai-universal-rules/docs/workflows/TASK-ENTRYPOINTS.md,packages/ai-universal-rules/manifest.json,packages/ai-universal-rules/manifest.yml,packages/ai-universal-rules/package-lock.ai.json,packages/ai-universal-rules/policies/ai-file-standards.json,packages/ai-universal-rules/templates/capabilities/README.md,packages/ai-universal-rules/templates/capabilities/bug-regression/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/bug-regression/checklist.md,packages/ai-universal-rules/templates/capabilities/bug-regression/config.example.json,packages/ai-universal-rules/templates/capabilities/bug-regression/examples.md,packages/ai-universal-rules/templates/capabilities/bug-regression/gotchas.md,packages/ai-universal-rules/templates/capabilities/bug-regression/reference.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/checklist.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/examples.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/gotchas.md,packages/ai-universal-rules/templates/capabilities/dependency-upgrade/reference.md,packages/ai-universal-rules/templates/capabilities/evidence-first-execution/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/evidence-first-execution/checklist.md,packages/ai-universal-rules/templates/capabilities/evidence-first-execution/examples.md,packages/ai-universal-rules/templates/capabilities/evidence-first-execution/gotchas.md,packages/ai-universal-rules/templates/capabilities/evidence-first-execution/reference.md,packages/ai-universal-rules/templates/capabilities/project-context/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/project-context/examples.md,packages/ai-universal-rules/templates/capabilities/project-context/gotchas.md,packages/ai-universal-rules/templates/capabilities/project-context/reference.md,packages/ai-universal-rules/templates/capabilities/release-safety/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/release-safety/checklist.md,packages/ai-universal-rules/templates/capabilities/release-safety/examples.md,packages/ai-universal-rules/templates/capabilities/release-safety/gotchas.md,packages/ai-universal-rules/templates/capabilities/release-safety/reference.md,packages/ai-universal-rules/templates/capabilities/review-diff/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/review-diff/checklist.md,packages/ai-universal-rules/templates/capabilities/review-diff/examples.md,packages/ai-universal-rules/templates/capabilities/review-diff/gotchas.md,packages/ai-universal-rules/templates/capabilities/review-diff/reference.md,packages/ai-universal-rules/templates/capabilities/verify-change/CAPABILITY.md,packages/ai-universal-rules/templates/capabilities/verify-change/checklist.md,packages/ai-universal-rules/templates/capabilities/verify-change/examples.md,packages/ai-universal-rules/templates/capabilities/verify-change/gotchas.md,packages/ai-universal-rules/templates/capabilities/verify-change/reference.md,packages/ai-universal-rules/templates/commands/search-evidence.md,packages/ai-universal-rules/templates/commands/verify-ai-wiring.md,packages/ai-universal-rules/templates/commands/verify.md,packages/ai-universal-rules/templates/core/AGENTS.template.md,packages/ai-universal-rules/templates/core/POST-INSTALL.template.md,packages/ai-universal-rules/templates/core/agents/architect.md,packages/ai-universal-rules/templates/core/agents/bootstrapper.md,packages/ai-universal-rules/templates/core/agents/config-maintainer.md,packages/ai-universal-rules/templates/core/agents/implementer.md,packages/ai-universal-rules/templates/core/agents/refactorer.md,packages/ai-universal-rules/templates/core/agents/release-auditor.md,packages/ai-universal-rules/templates/core/agents/repository-researcher.md,packages/ai-universal-rules/templates/core/agents/repository-reviewer.md,packages/ai-universal-rules/templates/core/agents/researcher.md,packages/ai-universal-rules/templates/core/agents/reviewer.md,packages/ai-universal-rules/templates/core/agents/workflow-auditor.md,packages/ai-universal-rules/templates/core/ai-file-standards.template.md,packages/ai-universal-rules/templates/core/copilot-instructions.template.md,packages/ai-universal-rules/templates/core/copilot-vscode-settings.template.json,packages/ai-universal-rules/templates/core/execution-protocol.template.md,packages/ai-universal-rules/templates/core/generated-artifacts.template.md,packages/ai-universal-rules/templates/core/opencode.json,packages/ai-universal-rules/templates/core/project-context.placeholders.md,packages/ai-universal-rules/templates/core/project-context.template.md,packages/ai-universal-rules/templates/core/project-stack.template.md,packages/ai-universal-rules/templates/core/workflow.template.md,packages/ai-universal-rules/templates/docs/ai/tools/actions/preview-file.md,packages/ai-universal-rules/templates/github/hooks/scripts/tool-guardian.ps1,packages/ai-universal-rules/templates/github/hooks/tool-guardian.json,packages/ai-universal-rules/templates/github/hooks/tool-policy.json,packages/ai-universal-rules/templates/github/pull_request_template.md,packages/ai-universal-rules/templates/github/workflows/export-ai-universal-rules-preview.yml,packages/ai-universal-rules/templates/github/workflows/test-external-install.yml,packages/ai-universal-rules/templates/github/workflows/validate-ai-surface.yml,packages/ai-universal-rules/templates/instructions/ai-file-standards.instructions.md,packages/ai-universal-rules/templates/instructions/ai-scripts.instructions.md,packages/ai-universal-rules/templates/instructions/ai-search.instructions.md,packages/ai-universal-rules/templates/instructions/ai-tooling.instructions.md,packages/ai-universal-rules/templates/instructions/ai-workflow.instructions.md,packages/ai-universal-rules/templates/instructions/approval-boundaries.instructions.md,packages/ai-universal-rules/templates/instructions/architecture.instructions.md,packages/ai-universal-rules/templates/instructions/base.instructions.md,packages/ai-universal-rules/templates/instructions/ci-workflows.instructions.md,packages/ai-universal-rules/templates/instructions/composer.instructions.md,packages/ai-universal-rules/templates/instructions/config-infra.instructions.md,packages/ai-universal-rules/templates/instructions/context-gate.instructions.md,packages/ai-universal-rules/templates/instructions/copilot-script-enforcement.instructions.md,packages/ai-universal-rules/templates/instructions/execution-protocol.instructions.md,packages/ai-universal-rules/templates/instructions/frontend.instructions.md,packages/ai-universal-rules/templates/instructions/generated-artifacts.instructions.md,packages/ai-universal-rules/templates/instructions/php.instructions.md,packages/ai-universal-rules/templates/instructions/security.instructions.md,packages/ai-universal-rules/templates/instructions/shell.instructions.md,packages/ai-universal-rules/templates/instructions/targets.instructions.md,packages/ai-universal-rules/templates/instructions/testing.instructions.md,packages/ai-universal-rules/templates/instructions/tools.instructions.md,packages/ai-universal-rules/templates/optional/agents/architecture-plan.md,packages/ai-universal-rules/templates/optional/agents/bugfix.md,packages/ai-universal-rules/templates/optional/agents/build-config.md,packages/ai-universal-rules/templates/optional/agents/docs.md,packages/ai-universal-rules/templates/optional/agents/infra-auditor.md,packages/ai-universal-rules/templates/optional/agents/ui-builder.md,packages/ai-universal-rules/templates/optional/agents/upgrade.md,packages/ai-universal-rules/templates/optional/delivery/README.md,packages/ai-universal-rules/templates/optional/delivery/slice-card.template.md,packages/ai-universal-rules/templates/shared/approvals/APPROVAL-PACKET.template.md,packages/ai-universal-rules/templates/shared/guardrails/AI-GUARDRAILS.md,packages/ai-universal-rules/templates/shared/project-interaction.md,packages/ai-universal-rules/templates/shared/verification/VERIFICATION-EVIDENCE.template.md,packages/ai-universal-rules/templates/skills/ai-scripts/SKILL.md,packages/ai-universal-rules/templates/skills/ai-search/SKILL.md,packages/ai-universal-rules/templates/snippets/approvals.snippet.md,packages/ai-universal-rules/templates/snippets/verification.snippet.md,packages/ai-universal-rules/templates/snippets/workflow.snippet.md,packages/ai-universal-rules/templates/workflows/architecture-plan.md,packages/ai-universal-rules/templates/workflows/bug-regression.md,packages/ai-universal-rules/templates/workflows/dependency-upgrade.md,packages/ai-universal-rules/templates/workflows/docs-sync.md,packages/ai-universal-rules/templates/workflows/evidence-first-execution.md,packages/ai-universal-rules/templates/workflows/new-feature.md,packages/ai-universal-rules/templates/workflows/plan-slice.md,packages/ai-universal-rules/templates/workflows/project-context.md,packages/ai-universal-rules/templates/workflows/regression-test.md,packages/ai-universal-rules/templates/workflows/release-safety.md,packages/ai-universal-rules/templates/workflows/repo-investigation.md,packages/ai-universal-rules/templates/workflows/review-diff.md,packages/ai-universal-rules/templates/workflows/review-search-tool.md,packages/ai-universal-rules/templates/workflows/script-inventory.md,packages/ai-universal-rules/templates/workflows/search-evidence.md,packages/ai-universal-rules/templates/workflows/verify-change.md"
policies,2,"Policy baselines and runtime policy descriptors.","Governance and policy validation workflows.",policies/README.md,none,policies/copilot/policy.yaml,"Policy files consumed by checks and adapters.",117,101,10,6,0,5749,"policies/README.md,policies/copilot/policy.yaml"
reference,4,"Reference materials and example sources for documentation and tests.","Authors of docs and tests needing canonical reference examples.",reference/README.md,none,reference/README.md,"Read-only reference content; not installed into target projects.",38,24,0,14,0,1420,"reference/README.md,reference/php/design-patterns/README.md,reference/php/design-principles/README.md,reference/php/php-built-ins/README.md"
